id;date_identification;indicateur;formule_calcul;cible;seuil_tolerance;unite;periodicite;responsable_calcul;observations;vigueur
1;2021-04-02;Metal Cambridgeshire holistic;Chicken;12819;16242;e-tailers c;reboot;Pants;a;false
2;2021-04-02;SCSI;Coordinateur;92371;71022;invoice deliverables;Frozen;Administrateur Progressive;c strategize circuit;false
3;2021-04-03;of streamline Saint-Séverin;du Account de;52120;87856;Generic;Buckinghamshire Basse-Normandie;deposit withdrawal Fresh;Aruba;false
4;2021-04-02;generate User-friendly Metal;Networked l'Odéon;37285;55495;a input;Lorraine;visualize Corse;Bacon;true
5;2021-04-03;a Account sensor;engineer workforce;49163;8593;b tertiary;quantifying;a b a;microchip Computer;true
6;2021-04-03;override heuristic d'Assas;Table Small redundant;58145;47395;Cambridgeshire B2C;d'Assas;Rubber state e-markets;Granite portal;false
7;2021-04-02;Rustic Account Sleek;Polarised;77125;84502;Toys markets;Licensed technologies bus;b e-services XML;integrate Ergonomic AGP;false
8;2021-04-02;Cambridgeshire connecting frictionless;Aquitaine Account;85613;66997;Granite Practical JBOD;Automated;Bedfordshire Account;Corse application;false
9;2021-04-03;deposit;Administrateur;71829;31899;copying Licensed Cambridgeshire;Bedfordshire clicks-and-mortar content-based;Avon;Fresh interface;false
10;2021-04-02;Fantastic override;compressing yellow;33168;21728;Awesome b;Guinea;Kong;sensor;false
