id;date;business_unit;activite;aspect_environnemental;impact_environnemental;competences_requises;situation;frequence;sensibilite_milieu;coefficient_maitrise;gravite;criticite;maitrise_existante;origine
1;2021-04-02;integrate Chair;Rustic Berkshire c;online Rial d'Abbeville;Singapore Tilsitt;Cambridgeshire Champagne-Ardenne dynamic;Urgence;THREE;TWO;ONE;FIVE;75164;transmitting yellow;Towels
2;2021-04-02;Card;ability b;c TCP EXE;Islands Borders;a one-to-one b;Anormale;TWO;THREE;THREE;ONE;39963;productivity de;Dinar Right-sized
3;2021-04-02;platforms Avon Lorraine;Loire;withdrawal pixel blue;Granite reboot;pink Baby;Normale;FIVE;THREE;ONE;TWO;76565;Table;Cotton Cambridgeshire Outdoors
4;2021-04-02;Latvia invoice Pizza;Account;a;Executif Rhône-Alpes;Kwanza Cyprus input;Normale;THREE;TWO;THREE;TWO;74289;Buckinghamshire Buckinghamshire;Picardie
5;2021-04-02;generate Dinar;bus payment;RSS;Wooden;New bricks-and-clicks;Anormale;TWO;FOUR;TWO;THREE;83407;Rustic orchid du;Refined Developpeur
6;2021-04-03;global Computer Rustic;Keyboard feed;calculate Keyboard;JBOD;asynchronous Chicken deposit;Normale;THREE;ONE;TWO;TWO;46718;b;Poitou-Charentes Steel United
7;2021-04-03;optical Berkshire;application a;Timor-Leste Car;Midi-Pyrénées calculate payment;Hryvnia card;Normale;FOUR;TWO;FOUR;THREE;80006;connecting Frozen Coordinateur;JSON web-enabled
8;2021-04-03;c;b bluetooth Kip;monitor Borders;Bonaparte;wireless b;Urgence;ONE;THREE;FOUR;ONE;49423;incentivize;Avon
9;2021-04-03;Pastourelle;calculating b;uniform value-added;parse GB;Intelligent Refined;Urgence;FOUR;THREE;FOUR;TWO;63397;auxiliary c Buckinghamshire;Handmade
10;2021-04-03;Cotton Bac;front-end Garden;back-end Assistant Du;Designer;Chicken;Anormale;THREE;FOUR;ONE;FIVE;31476;Steel;repurpose responsive
