id;date;buisness_unit;unite_travail;danger;risque;competence;situation;frequence;duree_exposition;coefficient_maitrise;gravite;criticite;maitrise_existante;origine
1;2021-04-02;neural-net;Bretagne salmon scalable;Loire;synergies d'Assas;Handmade Borders Ergonomic;Normale;THREE;FOUR;TWO;ONE;99765;hacking matrix Emirates;Soft Electronics
2;2021-04-03;array Molière Concrete;Haute-Normandie;Towels definition context-sensitive;deposit withdrawal;transmitting;Urgence;THREE;FIVE;FOUR;FIVE;47501;card magnetic communities;Automotive Small primary
3;2021-04-02;Armenia;Salad withdrawal;Account;value-added collaborative b;back-end;Normale;THREE;THREE;THREE;TWO;9930;Loire;a
4;2021-04-03;b deposit human-resource;azure PCI harness;de;a Electronics visualize;discrete synthesize;Normale;ONE;ONE;THREE;TWO;91024;Franche-Comté workforce bandwidth;Pizza
5;2021-04-03;proactive;back-end ROI Delesseux;cross-media Industrial;Automotive Executif;a Richelieu solution-oriented;Urgence;THREE;ONE;ONE;FIVE;84479;Account;Berkshire
6;2021-04-02;Music Centralized invoice;generate;Languedoc-Roussillon withdrawal Nord-Pas-de-Calais;SMTP Multi-lateral;installation JSON;Anormale;FIVE;FIVE;ONE;FOUR;88175;Auvergne Garden;synthesizing
7;2021-04-03;du Small;base;Augustins bypassing;Grocery Cambridgeshire;firewall;Anormale;ONE;FOUR;FIVE;FOUR;94719;Directeur Assistant capacity;Soft Rial
8;2021-04-02;magenta Executif;incremental Alsace;back-end;invoice repurpose Alsace;Small Ball Awesome;Anormale;THREE;FOUR;TWO;FOUR;5474;Home a Morocco;syndicate Languedoc-Roussillon
9;2021-04-02;Pays Gloves bypassing;Platinum;utilisation c Coordinateur;payment red Picardie;Rhône-Alpes bus;Normale;ONE;FOUR;THREE;THREE;52026;function;boliviano
10;2021-04-02;radical Rustic orange;IB monitor PCI;user-centric synergies;Practical;c 1080p JBOD;Urgence;THREE;ONE;FIVE;THREE;94933;Handmade;c incentivize
